pathway_note	reaction_name	IS_reversible	substrate	product
tma00061	R04952	false	C05745 	C05746
tma00061	R04952	false	 C01209	C05746
tma00061	R04543	true	C05762	C04633
tma00061	R04543	true	C04633	C05762
tma00061	R04566	true	C05759	C04688
tma00061	R04566	true	C04688	C05759
tma00061	R04964	true	C05756	C05757
tma00061	R04964	true	C05757	C05756
tma00061	R04534	true	C05753	C04619
tma00061	R04534	true	C04619	C05753
tma00061	R04536	true	C05750	C04620
tma00061	R04536	true	C04620	C05750
tma00061	R04953	true	C05746	C05747
tma00061	R04953	true	C05747	C05746
tma00061	R04533	true	C04618	C05744
tma00061	R04533	true	C05744	C04618
tma00061	R01626	false	C00083 	C01209
tma00061	R01626	false	 C00229	C01209
tma00061	R07765	true	C16221	C04088
tma00061	R07765	true	C04088	C16221
tma00061	R04355	false	C03939 	C05744
tma00061	R04355	false	 C01209	C05744
tma00061	R04428	true	C04618	C04246
tma00061	R04428	true	C04246	C04618
tma00061	R04954	true	C05747	C05748
tma00061	R04954	true	C05748	C05747
tma00061	R04537	true	C04620	C05751
tma00061	R04537	true	C05751	C04620
tma00061	R04535	true	C04619	C05754
tma00061	R04535	true	C05754	C04619
tma00061	R04965	true	C05757	C05758
tma00061	R04965	true	C05758	C05757
tma00061	R04568	true	C04688	C05760
tma00061	R04568	true	C05760	C04688
tma00061	R04544	true	C04633	C05763
tma00061	R04544	true	C05763	C04633
tma00061	R04355	false	C03939 	C05744
tma00061	R04355	false	 C01209	C05744
tma00061	R02768	false	C00173 	C00685
tma00061	R02768	false	 C01209	C00685
tma00061	R01626	false	C00229 	C01209
tma00061	R01626	false	 C00083	C01209
tma00061	R10208	true	C01271	C00693
tma00061	R10208	true	C00693	C01271
tma00061	R02767	true	C00685	C01271
tma00061	R02767	true	C01271	C00685
tma00061	R01626	false	C00083 	C01209
tma00061	R01626	false	 C00229	C01209
tma00061	R02768	false	C00173 	C00685
tma00061	R02768	false	 C01209	C00685
tma00061	R01403	true	C00693	C00173
tma00061	R01403	true	C00173	C00693
tma00061	R02767	true	C00685	C01271
tma00061	R02767	true	C01271	C00685
tma00130	R09736	false	C19847	C05819
tma00130	R10757	false	C03657 	C19847
tma00130	R10757	false	 C05847	C19847
tma00220	R00243&R00248	true	C00025	C00014
tma00220	R00243&R00248	true	C00014	C00025
tma00220	R02282	true	C00437	C00077
tma00220	R02282	true	C00077	C00437
tma00220	R02283	false	C01250	C00437
tma00220	R03443	false	C04133	C01250
